City,State,Lat,Long
Little Rock ,AR,,
Phoenix,AZ,,
Tucson,AZ,,
San Jose,CA,,
Oakland,CA,,
Los Angeles,CA,,
San Diego,CA,,
San Francisco,CA,,
Fresno,CA,,
Sacramento,CA,,
Denver,CO,,
Colorado Springs,CO,,
Washington,DC,,
Miami,FL,,
Tampa,FL,,
Atlanta,GA,,
Chicago,IL,,
Indianapolis,IN,,
Louisville,KY,,
New Orleans,LA,,
Boston,MA,,
Baltimore,MD,,
Detroit,MI,,
Minneapolis,MN,,
Kansas City,MO,,
Charlotte,NC,,
Raleigh,NC,,
Omaha,NE,,
Albuquerque,NM,,
Las Vegas,NV,,
New York,NY,,
Columbus,OH,,
Cleveland,OH,,
Oklahoma City,OK,,
Tulsa,OK,,
Portland,OR,,
Eugene,OR,,
Philadelphia,PA,,
Nashville,TN,,
Memphis,TN,,
Houston,TX,,
San Antonio,TX,,
Dallas ,TX,,
Austin,TX,,
El Paso,TX,,
Richmond,VA,,
Seattle,WA,,
Milwaukee,WI,,
Birmingham,AL,,
Fayetteville ,AR,,
Boise,ID,,
Salt Lake City,UT,,
Cheyenne,WY,,
Fargo,ND,,
Wichita,KS,,
Des Moines,IA,,
Petal,MS,,
Charleston,SC,,
Cincinnati,OH,,
Charleston,WV,,
Pittsburgh,PA,,
Wilmington,DE,,
Newark,NJ,,
New Haven,CT,,
Bridgeport,CT,,
Providence,RI,,
Burlington,VT,,
Manchester,NH,,
Portland,ME,,
Anchorage,AK,,
Honolulu,HI,,
Sioux Falls,SD,,
Long Beach,CA,,
Jacksonville,FL,,
Fort Worth,TX,,
Virginia Beach,VA,,
